,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,PnL,PnL %,PnL CUM,PnL CUM %
0,NSE_EQ:SBIN,2020-07-01 09:45:00,b368ff3ec7794c0e8a2761b57d8fab6f,BUY,1,180.25,INTRADAY,MARKET,2020-07-01 15:30:00,1fb048c30dd448a386ccc2a409368dd0,SELL,1,184.45,INTRADAY,MARKET,4.2,2.33,4.2,2.33
1,NSE_EQ:SBIN,2020-07-02 11:15:00,8f61ea11eb4146bd8717a97e331ba591,SELL,1,184.4,INTRADAY,MARKET,2020-07-02 12:00:00,44f9cc8270da4616aeb765f0530c45d7,BUY,1,185.55,INTRADAY,MARKET,-1.15,-0.62,3.05,1.71
2,NSE_EQ:SBIN,2020-07-02 12:00:00,827b623c4bd945d18758ad9e631ee0d6,BUY,1,185.55,INTRADAY,MARKET,2020-07-02 15:00:00,17004b9d7fd640bcafd4e2d99b54d2c1,SELL,1,185.6,INTRADAY,MARKET,0.05,0.03,3.1,1.74
3,NSE_EQ:SBIN,2020-07-02 15:00:00,5b061742a3544e9aacbcc853be104552,SELL,1,185.6,INTRADAY,MARKET,2020-07-02 15:30:00,807f3fcc5c824647ba98a747874b8a0e,BUY,1,185.7,INTRADAY,MARKET,-0.1,-0.05,3.0,1.69
4,NSE_EQ:SBIN,2020-07-03 12:00:00,22645cd73fb548a786bfefda294f394b,BUY,1,185.45,INTRADAY,MARKET,2020-07-03 13:15:00,3347c6a5a97e425288fc2fa88df7e0f7,SELL,1,184.6,INTRADAY,MARKET,-0.85,-0.46,2.15,1.23
5,NSE_EQ:SBIN,2020-07-03 13:15:00,6afe27047ff24404994a3439c215e8b4,SELL,1,184.6,INTRADAY,MARKET,2020-07-03 15:30:00,dfc66b4583e44b29b91b2189cd76eb8e,BUY,1,184.6,INTRADAY,MARKET,-0.0,-0.0,2.15,1.23
6,NSE_EQ:SBIN,2020-07-06 09:30:00,9f2965c880ab41e1b9b92c0e31122076,BUY,1,187.65,INTRADAY,MARKET,2020-07-06 14:45:00,c4c8e53a48784854ba53f8424c0e342a,SELL,1,187.85,INTRADAY,MARKET,0.2,0.11,2.35,1.34
7,NSE_EQ:SBIN,2020-07-06 14:45:00,52aa4c666bcd42eb9c64b719f87527dc,SELL,1,187.85,INTRADAY,MARKET,2020-07-06 15:30:00,7ec4d70695744d4695960753fa23d4ae,BUY,1,187.9,INTRADAY,MARKET,-0.05,-0.03,2.3,1.31
8,NSE_EQ:SBIN,2020-07-07 13:15:00,0b0e8612e0584b08a64ed3daf67cda97,BUY,1,186.55,INTRADAY,MARKET,2020-07-07 15:30:00,1fdee6f612b34deba4982e1dbe0640b0,SELL,1,188.0,INTRADAY,MARKET,1.45,0.78,3.75,2.09
